root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_present_perfect_2p_s,indicative_present_perfect_1p_s,indicative_present_perfect_1p_p,indicative_present_perfect_3p_s,indicative_present_perfect_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,indicative_past_perfect_2p_s,indicative_past_perfect_1p_s,indicative_past_perfect_1p_p,indicative_past_perfect_3p_s,indicative_past_perfect_3p_p
ser,eres,soy,somos,es,son,fuiste,fui,fuimos,fue,fueron,has sido,he sido,hemos sido,ha sido,han sido,eras,era,éramos,era,eran,serás,seré,seremos,será,serán,habías sido,había sido,habíamos sido,había sido,habían sido
ver,ves,veo,vemos,ve,ven,viste,vi,vimos,vio,vieron,has visto,he visto,hemos visto,ha visto,han visto,veías,veía,veíamos,veía,veían,verás,veré,veremos,verá,verán,habías visto,había visto,habíamos visto,había visto,habían visto
venir,vienes,vengo,venimos,viene,vienen,viniste,vine,vinimos,vino,vinieron,has venido,he venido,hemos venido,ha venido,han venido,venías,venía,veníamos,venía,venían,vendrás,vendré,vendremos,vendrá,vendrán,habías venido,había venido,habíamos venido,había venido,habían venido
ir,vas,voy,vamos,va,van,fuiste,fui,fuimos,fue,fueron,has ido,he ido,hemos ido,ha ido,han ido,ibas,iba,íbamos,iba,iban,irás,iré,iremos,irá,irán,habías ido,había ido,habíamos ido,había ido,habían ido
volver,vuelves,vuelvo,volvemos,vuelve,vuelven,volviste,volví,volvimos,volvió,volvieron,has vuelto,he vuelto,hemos vuelto,ha vuelto,han vuelto,volvías,volvía,volvíamos,volvía,volvían,volverás,volveré,volveremos,volverá,volverán,habías vuelto,había vuelto,habíamos vuelto,había vuelto,habían vuelto
hacer,haces,hago,hacemos,hace,hacen,hiciste,hice,hicimos,hizo,hicieron,has hacido,he hacido,hemos hacido,ha hacido,han hacido,hacías,hacía,hacíamos,hacía,hacían,harás,haré,haremos,hará,harán,habías hacido,había hacido,habíamos hacido,había hacido,habían hacido
estar,estás,estoy,estamos,está,están,estuviste,estuve,estuvimos,estuvo,estuvieron,has estado,he estado,hemos estado,ha estado,han estado,estabas,estaba,estábamos,estaba,estaban,estarás,estaré,estaremos,estará,estarán,habías estado,había estado,habíamos estado,había estado,habían estado
tener,tienes,tengo,tenemos,tiene,tienen,tuviste,tuve,tuvimos,tuvo,tuvieron,has tenido,he tenido,hemos tenido,ha tenido,han tenido,tenías,tenía,teníamos,tenía,tenían,tendrás,tendré,tendremos,tendrá,tendrán,habías tenido,había tenido,habíamos tenido,había tenido,habían tenido
llegar,llegas,llego,llegamos,llega,llegan,llegaste,llegé,llegamos,llegó,llegaron,has llegado,he llegado,hemos llegado,ha llegado,han llegado,llegabas,llegaba,llegábamos,llegaba,llegaban,llegarás,llegaré,llegaremos,llegará,llegarán,habías llegado,había llegado,habíamos llegado,había llegado,habían llegado
llevar,llevas,llevo,llevamos,lleva,llevan,llevaste,llevé,llevamos,llevó,llevaron,has llevado,he llevado,hemos llevado,ha llevado,han llevado,llevabas,llevaba,llevábamos,llevaba,llevaban,llevarás,llevaré,llevaremos,llevará,llevarán,habías llevado,había llevado,habíamos llevado,había llevado,habían llevado
salir,sales,salgo,salimos,sale,salen,saliste,salí,salimos,salió,salieron,has salido,he salido,hemos salido,ha salido,han salido,salías,salía,salíamos,salía,salían,salirás,saliré,saliremos,salirá,salirán,habías salido,había salido,habíamos salido,había salido,habían salido
haber,has,he,hemos,ha,han,hubiste,hube,hubimos,hubo,hubieron,has habido,he habido,hemos habido,ha habido,han habido,habías,había,habíamos,había,habían,haberás,haberé,haberemos,haberá,haberán,habías habido,había habido,habíamos habido,había habido,habían habido
hablar,hablas,hablo,hablamos,habla,hablan,hablaste,hablé,hablamos,habló,hablaron,has hablado,he hablado,hemos hablado,ha hablado,han hablado,hablabas,hablaba,hablábamos,hablaba,hablaban,hablarás,hablaré,hablaremos,hablará,hablarán,habías hablado,había hablado,habíamos hablado,había hablado,habían hablado
comer,comes,como,comemos,come,comen,comiste,comí,comimos,comió,comieron,has comido,he comido,hemos comido,ha comido,han comido,comías,comía,comíamos,comía,comían,comerás,comeré,comeremos,comerá,comerán,habías comido,había comido,habíamos comido,había comido,habían comido
vivir,vives,vivo,vivimos,vive,viven,viviste,viví,vivimos,vivió,vivieron,has vivido,he vivido,hemos vivido,ha vivido,han vivido,vivías,vivía,vivíamos,vivía,vivían,vivirás,viviré,viviremos,vivirá,vivirán,habías vivido,había vivido,habíamos vivido,había vivido,habían vivido
decir,dices,digo,decimos,dice,dicen,dijiste,dije,dijimos,dijo,dijeron,has dicho,he dicho,hemos dicho,ha dicho,han dicho,decías,decía,decíamos,decía,decían,decirás,deciré,deciremos,decirá,decirán,habías dicho,había dicho,habíamos dicho,había dicho,habían dicho
levantar,levantas,levanto,levantamos,levanta,levantan,levantaste,levanté,levantamos,levantó,levantaron,has levantado,he levantado,hemos levantado,ha levantado,han levantado,levantabas,levantaba,levantábamos,levantaba,levantaban,levantarás,levantaré,levantaremos,levantará,levantarán,habías levantado,había levantado,habíamos levantado,había levantado,habían levantado
querer,quieres,quiero,queremos,quiere,quieren,quisiste,quise,quisimos,quiso,quisieron,has querido,he querido,hemos querido,ha querido,han querido,querías,quería,queríamos,quería,querían,quererás,quereré,quereremos,quererá,quererán,habías querido,había querido,habíamos querido,había querido,habían querido
creer,crees,creo,creemos,cree,creen,creiste,creí,creimos,creió,creieron,has creido,he creido,hemos creido,ha creido,han creido,creías,creía,creíamos,creía,creían,creerás,creeré,creeremos,creerá,creerán,habías creido,había creido,habíamos creido,había creido,habían creido
parecer,pareces,pareco,parecemos,parece,parecen,pareciste,parecí,parecimos,pareció,parecieron,has parecido,he parecido,hemos parecido,ha parecido,han parecido,parecías,parecía,parecíamos,parecía,parecían,parecerás,pareceré,pareceremos,parecerá,parecerán,habías parecido,había parecido,habíamos parecido,había parecido,habían parecido
obligar,obligas,obligo,obligamos,obliga,obligan,obligaste,obligé,obligamos,obligó,obligaron,has obligado,he obligado,hemos obligado,ha obligado,han obligado,obligabas,obligaba,obligábamos,obligaba,obligaban,obligarás,obligaré,obligaremos,obligará,obligarán,habías obligado,había obligado,habíamos obligado,había obligado,habían obligado
saber,sabes,sé,sabemos,sabe,saben,supiste,supe,supimos,supo,supieron,has sabido,he sabido,hemos sabido,ha sabido,han sabido,sabías,sabía,sabíamos,sabía,sabían,sabrás,sabré,sabremos,sabrá,sabrán,habías sabido,había sabido,habíamos sabido,había sabido,habían sabido
doler,dueles,duelo,dolemos,duele,duelen,doliste,dolí,dolimos,dolió,dolieron,has dolido,he dolido,hemos dolido,ha dolido,han dolido,dolías,dolía,dolíamos,dolía,dolían,dolerás,doleré,doleremos,dolerá,dolerán,habías dolido,había dolido,habíamos dolido,había dolido,habían dolido
poder,puedes,puedo,podemos,puede,pueden,pudiste,pude,pudimos,pudo,pudieron,has podido,he podido,hemos podido,ha podido,han podido,podías,podía,podíamos,podía,podían,poderás,poderé,poderemos,poderá,poderán,habías podido,había podido,habíamos podido,había podido,habían podido
despertar,despertas,desperto,despertamos,desperta,despertan,despertaste,desperté,despertamos,despertó,despertaron,has despertado,he despertado,hemos despertado,ha despertado,han despertado,despertabas,despertaba,despertábamos,despertaba,despertaban,despertarás,despertaré,despertaremos,despertará,despertarán,habías despertado,había despertado,habíamos despertado,había despertado,habían despertado
gustar,gustas,gusto,gustamos,gusta,gustan,gustaste,gusté,gustamos,gustó,gustaron,has gustado,he gustado,hemos gustado,ha gustado,han gustado,gustabas,gustaba,gustábamos,gustaba,gustaban,gustarás,gustaré,gustaremos,gustará,gustarán,habías gustado,había gustado,habíamos gustado,había gustado,habían gustado
